Name,Organization,Project
Weijun Huang,MariaDB,Add linear regression functions
Wileam Phan,GNU Compiler Collection (GCC),Accelerating Fortran DO CONCURRENT in GCC
William Snider,INCF,A GPU-accelerated Model of the Mouse Primary Visual Cortex
wingdeans,Rizin,Automated Python Bindings
wizofe,INCF,Efficient app-based measurement of visual functions in infants and young children
wjf,Apache Software Foundation,DolphinScheduler: Support etcd as registry
Xianda Sun,The Julia Language,Let Turing Handle The BUGS
Xiangyi,Unikraft,Intel SGX-based Isolation for Unikraft
Xiaoyu Chu,Performance Co-Pilot,Native sysstat PCP tooling
Xin Huang,Apache Software Foundation,Apache ShardingSphere Develop an external tool to convert YAML configuration into DistSQL scripts
Xin Yi,Machine Learning for Science (ML4SCI),Graph Neural Networks for End-to-End Particle Identification with the CMS Experiment
Xin Zhao,Apache Software Foundation,Apache IoTDB integration with gRPC
Xinglong,TensorFlow,"Tensorflow/JAX project — ""JAX ML Textbook"""
Xinran Zhao,R project for statistical computing,Addition of Conic Solver to PortfolioAnalytics Package with Application to EQS
xoldyckk,The Palisadoes Foundation,API : Simplify The Codebase
xsmingerfan,Blender Foundation,Waveform Drawing Improvements
xspronken,NumFOCUS,Qutip Benchmarks
xtanion,Python Software Foundation,FURY:  glTF Integration
Xuan,Center for Research in Open Source Software (CROSS),Python Interface to HDF5 Asynchronous I/O
XuChe,KDE Community,Pixel-perfect ellipses in Krita
Y. Su,Chromium,Screenshot Functionality for Support Tool
Y7n05h,PowerDNS,Add AF_XDP support to DNSDist
Yahia Zakaria,"Department of Biomedical Informatics, Emory University",Interactive Multidimensional Visualizations for Eaglescope
yannmclatchie,NumFOCUS,Implement projection predictive variable selection for Bambi-fitted GLMs
Yantong,Genome Assembly and Annotation,Using Machine Learning to Identify and Classify Repeat Features
Yash Brid,INCF,17.2  Adding new workers and resource management to new dataflow engine written in Python: Pydra
Yash Goel,Drupal Association,FramOS Graphing and reporting
Yash Gupta,Semi Technologies,Any new demo (e.g. python notebook) that can be integrated into our website/examples etc.
Yash Kamboj,CNCF,Expand Service Mesh Patterns catalog
Yash Kandalkar,moja global,GCBM Simulation Editor for FLINT-UI
Yash Mathne,syslog-ng,Enhancements to the csv-parser()
Yash Prakash,CHAOSS,Build Knowledgebase Application on CHAOSS Website
Yash Raj,Liquid Galaxy project,350h La Palma Volcano Eruption tracking tool
Yash_Raj,Society for Arts and Technology (SAT),Create a WebUI for data mapping and software control in embedded systems
yash10019coder,Oppia Foundation,Android Release Automation
yashdabhade,Blender Foundation,3D Text Usability Improvements
Yashika Jotwani,OpenWISP,Improve UX of OpenWISP Monitoring
YASHIKA SARKAR,Apache Software Foundation,Add the ability to Safely Shutdown / restart CloudStack
Yashu Garg,Python Software Foundation,cve-bin-tool: Improving code coverage and Implementing fuzzing
yedil,PostgreSQL,Develop Performance Farm Benchmarks and Website
Yeming Gu,Apache Software Foundation,GSoC Proposal for Apache APISIX Refactoring Dashboard plugin orchestration
Yepeng Zhang,Apache Software Foundation,DUBBO-92: Explore a new generation of flexible loadbalance algorithms for Dubbo-go
Yibei Chen,INCF,Converting existing scientific workflows to the new dataflow engine Pydra (Python)
Yifu Kang,R project for statistical computing,GSoC 2022 Proposal: Robust Portfolio Optimization
Yilin,NumFOCUS,ArviZ Dashboards
YingRu,NumFOCUS,Implement Physics-Informed Neural Operators for NeuralOperators.jl
Yixiang Zhao,Casbin,Casbin for Java
Yogesh,PowerDNS,Add outgoing DNS over QUIC support to DNSDist
Yogesh Kaushik,Xfce,"Proposal For Improvising Thunar Bulk-Renamer, Screenshooter, and Panel"
Yogesh Sirsat,Zulip,Working on Cluster of Priority Features.
Yoshi,National Resource for Network Biology (NRNB),Create a Pipeline from data extraction to execution of GNN based Drug Response Prediction
Young,The Linux Foundation,Apache Thrift Module for Zephyr
Yufan Fei,R project for statistical computing,Improving Animated Interactive GGPLOT
Yugal Kishore,International Catrobat Association,Awesome Demo Game Project (175 hours) - Devoir of Warrior
yulangz,PostgreSQL,pgagroal: SCRAM-SHA-256-PLUS support (2022)
Yuqing,rocket.chat,Rocket.Chat -  Teams Bridge:  interop with Microsoft Teams
Yurii Claus,Machine Learning for Science (ML4SCI),Equivariant Transformers for Decoding Dark Matter with Strong Gravitational Lensing
Yurii Palaida,Mathesar,Construct Dependency Graph for Database Objects
Yusuf Karadag,JBoss Community,Infinispan and Quarkus
Yusuf Ziya Özgül,cBioPortal for Cancer Genomics,Broader use of pathway views in cBioPortal
Yuzie,MetaBrainz Foundation Inc,Add Timezone support to ListenBrainz
ZafeerSyed,Red Hen Lab,Red Hen Hatcher Project Proposal
Zaheed Beita,JBoss Community,Quarkus  - API validation and tracking for Quarkus and Quarkiverse
Zarak Mahmud,Haskell.org,Implementing a GPU Backend for Advanced Machine Learning Algorithms
Zeel,TensorFlow,Develop JAX examples and demos for an ML upcoming textbook
Zekrom_7780,JdeRobot,Robotics-Academy: Improve Deep Learning based Human Detection exercise
Zephyr,CERN-HSF,ROOT - Automatic conversion of data stored in TTree form to RNTuple
ZeroDawn0D,R project for statistical computing,R-only tripack
Zeyu Sheng,libssh,Callback based sftp server
Zhang Zhuyan,GeomScale,Automatic differentiation support in volesti
Zhe Cheng,CNCF,Tooling to deploy and cross-configure cert-manager with external dependencies by Terraform
Zheng Qijia,freifunk,Traffic Monitoring and Classification via XDP/eBPF
Zhengyi,OpenStreetMap,Proposal for JOSM Route Visualisation
Zhengyu,Open3D team,Geometry processing algorithms for tensor-based geometry
Zhi Guo,QEMU,VIRTIO_F_IN_ORDER support for virtio devices
Zhiheng,The ns-3 Network Simulator Project,“Perfect” ARP and NDP
Zhongchao Guan,Machine Learning for Science (ML4SCI),Deep Regression Exploration
ziad hany,AboutCode,Add more data sources and mine the graph to find correlations between vulnerabilities
ZiJian Ren,CNCF,Normalize TiKV Java client for TiSpark
Ziwei Cao,The Mifos Initiative,Proposal for Machine Learning Scorecard for Credit Risk Assessment Phase 5
Zixuan James Li,Zulip,Codebase Enhancement with Better Type Checking
Ziyi Tan,MariaDB,MariaDB - [MCOL-785] Implement DISTRIBUTED JSON functions
zlber,Apache Software Foundation,dubbo-go Proxyless Mesh
杨阳,Apache Software Foundation,GSoC2022 Rust language implementation
